x y z rvir redshift log_sSFR color
0.06394 0.05172 0.82140 0.00315 0.02741 -10.34 blue
0.09949 0.05217 0.67416 0.00146 0.02277 -9.62 blue
0.06422 0.04695 0.81846 0.00107 0.02730 -10.05 blue
-0.14481 0.06178 0.76719 0.00124 0.02603 -11.58 red
-0.12568 0.04749 0.66345 0.00135 0.02256 -10.82 blue
0.03817 0.05062 0.82018 0.00104 0.02731 4.51 blue
-0.05614 0.03592 0.66224 0.00120 0.02218 -10.09 blue
0.04269 0.05797 0.80148 0.00109 0.02673 -9.25 blue
-0.10396 0.04925 0.58533 0.00096 0.01992 -11.23 blue
-0.08107 0.02303 0.63291 0.00110 0.02129 -10.32 blue
-0.12792 0.06169 0.74284 0.00112 0.02515 -11.14 blue
-0.10433 0.05137 0.63181 0.00151 0.02142 -11.57 red
-0.08629 0.02721 0.70420 0.00188 0.02364 -11.03 blue
-0.09913 0.04156 0.78811 0.00116 0.02643 3.87 blue
-0.08430 0.04089 0.69194 0.00103 0.02325 4.00 blue
-0.07605 0.04980 0.66681 0.00096 0.02243 -9.75 blue
0.05206 0.02247 0.67234 0.00104 0.02248 -9.84 blue
-0.11455 0.05206 0.75501 0.00120 0.02545 -9.99 blue
-0.09386 0.03641 0.60782 0.00105 0.02056 -12.53 red
-0.00370 0.04652 0.83303 0.00317 0.02770 -9.68 blue
-0.11340 0.04077 0.74214 0.00125 0.02501 -11.21 blue
-0.11358 0.04419 0.69946 0.00178 0.02364 -11.78 red
-0.01941 0.05619 0.65985 0.00100 0.02208 -9.90 blue
-0.09385 0.03227 0.59547 0.00111 0.02015 3.82 blue
-0.09577 0.02646 0.62945 0.00164 0.02125 -11.10 blue
-0.11616 0.04005 0.76270 0.00113 0.02568 -10.69 blue
-0.11958 0.03570 0.79457 0.00123 0.02672 -11.10 blue
-0.10478 0.03439 0.71203 0.00137 0.02398 -10.65 blue
0.02993 0.04550 0.82424 0.00107 0.02743 -9.34 blue
-0.08657 0.03276 0.55671 0.00155 0.01886 -11.07 blue
-0.10685 0.04037 0.68553 0.00133 0.02315 -11.20 blue
-0.10184 0.03981 0.63545 0.01270 0.02150 -10.87 blue
-0.12381 0.05028 0.75094 0.00183 0.02536 -11.37 blue
