NSAID RA DEC redshift mstars sfr sfr_err rvir log_sSFR color
482113 192.159949 29.190356 0.02379 9.21 0.32 0.00 1.02511 -9.71 blue
482610 193.815693 28.251999 0.02109 9.06 0.00 0.00 0.97239 -11.81 red
482958 193.854386 27.798048 0.02457 10.73 0.04 1.00 2.71367 -12.17 red
482650 194.153759 27.884872 0.02107 9.20 0.00 0.00 1.02343 -12.59 red
483012 194.452777 28.180453 0.02411 10.36 0.15 0.00 1.73791 -11.19 red
482670 194.449436 27.769467 0.01928 9.52 0.01 0.00 1.14666 -11.35 red
482746 194.898756 27.959256 0.02391 11.39 2.81 0.00 9.84212 -10.95 red
483152 195.186019 28.100644 0.02201 10.00 0.11 0.00 1.39828 -10.97 red
482772 195.022462 28.024437 0.01969 9.78 0.11 0.00 1.27426 -10.74 red
483153 195.306922 28.083128 0.01937 9.16 0.02 0.00 1.01014 -10.85 red
483207 195.961653 27.988382 0.02118 10.45 0.26 0.00 1.86919 -11.03 red
483143 195.329418 28.128151 0.02271 9.44 0.00 1.00 1.11150 -12.82 red
482457 193.647674 26.751296 0.02676 9.81 21689082206177.43 -99.00 1.28355 3.53 blue
482530 193.171178 26.365821 0.02047 10.22 0.09 0.00 1.58060 -11.25 red
483407 196.019845 27.850552 0.02129 9.55 0.06 0.00 1.15937 -10.78 red
483320 196.316765 25.957619 0.02174 10.29 1.63 0.00 1.64903 -10.08 blue
482633 193.955357 27.751904 0.02418 9.29 22305085497653.17 -99.00 1.05479 4.05 blue
482687 194.618401 27.559412 0.02526 9.93 0.19 0.00 1.35573 -10.66 red
482696 194.682961 28.282670 0.02545 9.78 0.00 1.00 1.26989 -12.58 red
445273 202.075010 29.942766 0.02402 9.25 0.21 0.00 1.03722 -9.92 blue
482704 194.632955 28.049613 0.01903 9.78 0.12 0.00 1.27493 -10.69 red
482727 194.858942 28.287564 0.02668 9.85 0.00 1.00 1.30774 -13.06 red
482739 194.887403 27.983401 0.02274 10.86 28.06 0.00 3.39193 -9.41 blue
483471 196.651709 27.872946 0.02094 10.05 0.76 0.00 1.43938 -10.17 blue
482768 194.965696 28.098557 0.02551 9.62 0.00 1.00 1.19045 -13.08 red
483485 196.929799 27.509649 0.02528 10.08 0.04 0.00 1.45864 -11.54 red
482865 194.564899 27.087230 0.02575 9.69 0.03 0.00 1.22326 -11.23 red
482900 194.345507 27.492971 0.02749 11.14 0.46 0.00 5.91954 -11.47 red
484564 205.189359 25.955327 0.02738 10.04 0.01 1.00 1.42640 -11.91 red
672358 195.157777 28.058081 0.02553 10.05 1.74 0.00 1.43478 -9.81 blue
483949 200.596217 27.182631 0.02447 9.52 0.85 0.00 1.14450 -9.59 blue
439741 205.365754 29.956633 0.02710 9.33 42330334533668.33 -99.00 1.06538 4.30 blue
629828 196.495387 29.023725 0.02024 10.24 17.26 0.00 1.59693 -9.00 blue
484288 201.920781 25.450598 0.02551 9.07 0.08 0.00 0.97425 -10.14 blue
676280 203.830208 26.424781 0.02537 10.40 2.18 0.00 1.78651 -10.06 blue
629618 194.904647 27.870112 0.02064 8.82 0.15 0.00 0.89690 -9.65 blue
484441 204.265030 27.238603 0.02563 8.92 0.22 0.00 0.92675 -9.58 blue
474638 170.081455 25.650146 0.02648 9.39 0.29 0.00 1.09052 -9.92 blue
447297 206.518835 26.428364 0.02653 9.32 0.31 0.00 1.06433 -9.84 blue
629989 198.438765 24.982456 0.02418 10.58 4.07 0.00 2.15196 -9.97 blue
